Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),Calories_Burned (kcal)_log,Effort_Score,Workout_Type_Hiit,Workout_Type_Mixed,Workout_Type_Strength,Workout_Type_Yoga,Experience_Level_1,Experience_Level_2,Experience_Level_3,Age_Group_Adult,Age_Group_Senior,Workout_Intensity_Moderate,Workout_Intensity_High,Age_Group,Workout_Intensity
41,Male,51.2,1.61,179.0,126.0,62.0,1.07,14.5,3.8,7,19.752324370201766,3.0,0.7039106145251397,2.111731843575419,89.9,4.509760001183433,134.82000000000002,False,False,False,True,False,False,True,True,False,False,False,Adult,Low
53,Male,57.7,1.62,161.0,140.0,77.0,0.44,28.7,3.5,3,21.985977747294616,8.0,0.8695652173913043,6.956521739130435,152.3,5.0323967858777685,61.6,False,True,False,False,False,False,False,False,True,True,False,Senior,Moderate
57,Male,69.9,1.68,163.0,135.0,70.0,0.43,27.6,2.8,4,24.76615646258504,6.0,0.8282208588957055,4.969325153374233,126.0,4.844187086458591,58.05,False,False,True,False,True,False,False,False,True,True,False,Senior,Moderate
41,Female,80.4,1.65,168.0,142.0,63.0,1.0,20.9,4.6,6,29.531680440771357,8.0,0.8452380952380952,6.761904761904762,483.9,6.183942684111306,142.0,False,True,False,False,False,True,False,True,False,True,False,Adult,Moderate
20,Female,66.6,1.53,205.0,186.0,75.0,0.65,37.7,3.0,3,28.450595924644364,9.5,0.9073170731707317,8.61951219512195,351.1,5.863915226161007,120.9,True,False,False,False,False,False,False,False,False,False,True,Young,High
39,Female,48.4,1.64,175.0,143.0,69.0,0.97,27.0,3.6,4,17.99524092801904,6.0,0.8171428571428572,4.902857142857143,196.7,5.286750730176571,138.71,False,False,True,False,True,False,False,True,False,True,False,Adult,Moderate
19,Male,58.1,1.67,202.0,171.0,76.0,0.48,25.5,4.4,2,20.832586324357276,8.0,0.8465346534653465,6.772277227722772,168.2,5.1310814471721224,82.08,False,True,False,False,False,False,False,False,False,False,True,Young,High
41,Male,76.4,1.62,180.0,149.0,76.0,0.25,28.3,2.8,2,29.11141594269166,6.0,0.8277777777777777,4.966666666666667,80.4,4.399375273008495,37.25,False,False,True,False,False,False,False,True,False,True,False,Adult,Moderate
47,Female,64.4,1.75,169.0,136.0,57.0,1.39,9.0,3.9,7,21.028571428571432,6.0,0.8047337278106509,4.828402366863905,378.8,5.939644798378185,189.04,False,False,True,False,False,False,True,False,True,True,False,Senior,Moderate
55,Male,74.6,1.77,171.0,149.0,81.0,0.56,24.7,4.3,3,23.811803760094477,8.0,0.8713450292397661,6.970760233918129,252.5,5.535363823031238,83.44000000000001,False,True,False,False,False,False,False,False,True,True,False,Senior,Moderate
19,Male,50.3,1.67,205.0,184.0,66.0,0.44,16.1,2.5,5,18.03578471798917,9.5,0.8975609756097561,8.526829268292683,178.5,5.190175207928333,80.96,True,False,False,False,True,False,False,False,False,False,True,Young,High
38,Male,83.0,1.7,178.0,163.0,77.0,0.84,29.1,3.8,3,28.719723183391007,9.5,0.9157303370786517,8.69943820224719,564.0,6.336825731146441,136.92,True,False,False,False,False,False,False,True,False,False,True,Adult,High
50,Female,38.6,1.46,174.0,143.0,73.0,0.25,29.8,2.5,3,18.108463126290115,6.0,0.8218390804597702,4.931034482758621,40.1,3.716008121502189,35.75,False,False,True,False,False,False,False,False,True,True,False,Senior,Moderate
29,Male,48.3,1.64,186.0,157.0,71.0,0.58,21.2,3.9,3,17.958060678167758,8.0,0.8440860215053764,6.752688172043011,167.6,5.127529045567755,91.05999999999999,False,True,False,False,False,False,False,False,False,True,False,Young,Moderate
39,Male,89.4,1.78,188.0,171.0,74.0,0.27,17.1,2.6,3,28.21613432647393,9.5,0.9095744680851063,8.64095744680851,195.1,5.2786247332023,46.17,True,False,False,False,False,False,False,True,False,False,True,Adult,High
42,Female,85.0,1.64,184.0,155.0,67.0,0.8,25.8,3.9,5,31.603212373587155,8.0,0.842391304347826,6.739130434782608,409.2,6.016644845638281,124.0,False,True,False,False,True,False,False,True,False,True,False,Adult,Moderate
44,Female,58.9,1.61,181.0,153.0,68.0,0.87,14.4,4.4,4,22.722888777439138,8.0,0.8453038674033149,6.762430939226519,308.4,5.734634938138965,133.10999999999999,False,True,False,False,False,True,False,True,False,True,False,Adult,Moderate
59,Female,86.0,1.9,153.0,115.0,70.0,0.69,24.2,4.0,5,23.822714681440445,3.0,0.7516339869281046,2.2549019607843137,96.5,4.579852378003801,79.35,False,False,False,True,True,False,False,False,True,False,False,Senior,Low
45,Female,95.8,1.86,172.0,129.0,77.0,0.6,31.4,3.5,5,27.69106255058388,3.0,0.75,2.25,94.4,4.558078578454241,77.39999999999999,False,False,False,True,True,False,False,True,False,False,False,Adult,Low
33,Female,75.0,1.73,184.0,129.0,60.0,1.0,22.6,4.4,7,25.05930702662969,3.0,0.7010869565217391,2.1032608695652173,125.2,4.837867950107113,129.0,False,False,False,True,False,True,False,True,False,False,False,Adult,Low
32,Female,72.4,1.79,185.0,153.0,55.0,1.645,11.1,5.0,6,22.59604881245904,8.0,0.827027027027027,6.616216216216216,719.45,6.579876016778943,251.685,False,True,False,False,False,False,True,True,False,True,False,Adult,Moderate
20,Male,46.9,1.46,205.0,158.0,72.0,0.89,20.6,3.5,3,22.002251829611563,7.0,0.7707317073170732,5.3951219512195125,188.9,5.24649761781824,140.62,False,False,False,False,True,False,False,False,False,True,False,Young,Moderate
54,Male,46.2,1.6,157.0,135.0,69.0,1.25,14.7,4.3,7,18.046874999999996,8.0,0.8598726114649682,6.8789808917197455,346.5,5.850764665004847,168.75,False,True,False,False,False,False,True,False,True,True,False,Senior,Moderate
24,Male,66.5,1.63,198.0,179.0,72.0,0.87,20.9,2.9,5,25.029169332680947,9.5,0.9040404040404041,8.58838383838384,466.7,6.147827064731841,155.73,True,False,False,False,True,False,False,False,False,False,True,Young,High
38,Male,64.8,1.66,186.0,167.0,60.0,1.22,18.7,3.8,6,23.51574974597184,9.5,0.8978494623655914,8.529569892473118,637.8,6.459591416340857,203.74,True,False,False,False,False,True,False,True,False,False,True,Adult,High
26,Female,59.2,1.63,190.0,172.0,65.0,0.91,24.6,3.3,3,22.281606383379128,9.5,0.9052631578947369,8.6,438.1,6.084727177567672,156.52,True,False,False,False,True,False,False,False,False,False,True,Young,High
56,Male,42.0,1.45,167.0,133.0,70.0,1.29,12.6,3.2,7,19.976218787158146,7.0,0.7964071856287425,5.574850299401197,246.3,5.510602174527371,171.57,False,False,False,False,False,False,True,False,True,True,False,Senior,Moderate
35,Female,60.2,1.72,187.0,151.0,68.0,0.37,18.6,2.7,4,20.348837209302328,6.0,0.8074866310160428,4.8449197860962565,93.2,4.545420181582317,55.87,False,False,True,False,True,False,False,True,False,True,False,Adult,Moderate
21,Female,79.6,1.73,198.0,163.0,60.0,1.01,19.7,4.2,5,26.59627785759631,8.0,0.8232323232323232,6.585858585858586,480.0,6.175867270105761,164.63,False,True,False,False,False,True,False,False,False,False,True,Young,High
42,Male,93.2,1.84,183.0,135.0,76.0,0.63,22.1,3.6,5,27.52835538752363,3.0,0.7377049180327869,2.2131147540983607,97.1,4.585987366571318,85.05,False,False,False,True,True,False,False,True,False,True,False,Adult,Moderate
31,Male,58.2,1.6,186.0,167.0,59.0,1.35,9.0,3.8,5,22.734374999999996,9.5,0.8978494623655914,8.529569892473118,634.7,6.454726753942363,225.45000000000002,True,False,False,False,False,False,True,True,False,False,True,Adult,High
26,Female,56.5,1.59,199.0,178.0,55.0,1.16,18.3,3.7,7,22.348799493690912,9.5,0.8944723618090452,8.49748743718593,531.8,6.27814611922618,206.48,True,False,False,False,False,False,True,False,False,False,True,Young,High
43,Female,43.3,1.45,178.0,150.0,85.0,0.81,26.3,3.3,3,20.59453032104637,6.0,0.8426966292134831,5.056179775280898,147.1,4.997887721273753,121.50000000000001,False,False,True,False,False,False,False,True,False,True,False,Adult,Moderate
19,Female,75.6,1.65,199.0,161.0,73.0,0.57,26.6,3.4,5,27.768595041322314,6.0,0.8090452261306532,4.8542713567839195,180.6,5.201806466167193,91.77,False,False,True,False,True,False,False,False,False,False,True,Young,High
37,Female,75.6,1.77,182.0,148.0,67.0,0.83,28.7,3.7,3,24.130996839988505,6.0,0.8131868131868132,4.8791208791208796,265.2,5.5842479059610115,122.83999999999999,False,False,True,False,False,False,False,True,False,True,False,Adult,Moderate
45,Male,66.8,1.62,168.0,147.0,82.0,0.8,20.3,4.2,3,25.453436976070716,8.0,0.875,7.0,323.1,5.781052110147502,117.60000000000001,False,True,False,False,False,False,False,True,False,True,False,Adult,Moderate
24,Female,91.3,1.89,194.0,173.0,55.0,1.35,19.2,3.6,7,25.559194871364184,9.5,0.8917525773195877,8.471649484536083,719.45,6.579876016778943,233.55,True,False,False,False,False,False,True,False,False,False,True,Young,High
25,Male,62.3,1.65,189.0,146.0,64.0,0.87,17.9,3.2,4,22.88337924701561,7.0,0.7724867724867724,5.407407407407407,248.9,5.521060837840906,127.02,False,False,False,False,True,False,False,False,False,True,False,Young,Moderate
52,Female,55.5,1.69,169.0,133.0,66.0,1.01,24.3,3.1,3,19.432092713840554,7.0,0.7869822485207101,5.508875739644971,255.2,5.545958389462633,134.33,False,False,False,False,True,False,False,False,True,True,False,Senior,Moderate
31,Female,47.7,1.54,194.0,158.0,75.0,1.06,25.0,3.8,7,20.11300387923765,6.0,0.8144329896907216,4.88659793814433,211.6,5.359412465907847,167.48000000000002,False,False,True,False,False,True,False,True,False,True,False,Adult,Moderate
34,Female,83.2,1.71,188.0,150.0,80.0,0.95,23.8,3.1,4,28.4531992749906,7.0,0.7978723404255319,5.585106382978723,358.6,5.884992302597465,142.5,False,False,False,False,True,False,False,True,False,True,False,Adult,Moderate
53,Male,46.3,1.48,163.0,141.0,72.0,0.67,24.0,4.5,2,21.137691745799852,8.0,0.8650306748466258,6.920245398773006,188.2,5.2428046566177775,94.47,False,True,False,False,False,False,False,False,True,True,False,Senior,Moderate
57,Female,68.4,1.75,162.0,134.0,84.0,0.54,25.8,2.3,2,22.33469387755102,7.0,0.8271604938271605,5.790123456790123,165.7,5.116195789756748,72.36,False,False,False,False,False,False,False,False,True,True,False,Senior,Moderate
21,Male,59.8,1.75,200.0,158.0,59.0,1.14,13.9,3.9,3,19.526530612244898,6.0,0.79,4.74,287.2,5.663654683565421,180.11999999999998,False,False,True,False,True,False,False,False,False,True,False,Young,Moderate
19,Male,63.1,1.82,203.0,160.0,80.0,0.69,20.7,2.8,2,19.049631686994324,7.0,0.7881773399014779,5.517241379310345,198.2,5.294309345150498,110.39999999999999,False,False,False,False,False,False,False,False,False,True,False,Young,Moderate
23,Male,52.1,1.58,205.0,187.0,82.0,0.55,25.0,3.1,2,20.870052876141642,9.5,0.9121951219512195,8.665853658536586,232.4,5.452753719852455,102.85000000000001,True,False,False,False,False,False,False,False,False,False,True,Young,High
59,Female,88.5,1.7,164.0,144.0,83.0,0.83,25.8,4.4,3,30.62283737024222,8.0,0.8780487804878049,7.024390243902439,442.5,6.094697801749634,119.52,False,True,False,False,False,False,False,False,True,True,False,Senior,Moderate
21,Male,80.3,1.74,200.0,165.0,60.0,1.52,16.3,4.0,7,26.52265821112432,8.0,0.825,6.6,719.45,6.579876016778943,250.8,False,True,False,False,False,False,True,False,False,False,True,Young,High
46,Male,65.1,1.72,175.0,150.0,78.0,0.25,22.8,3.6,3,22.005137912385074,8.0,0.8571428571428571,6.857142857142857,96.6,4.580877493419047,37.5,False,True,False,False,False,False,False,False,True,True,False,Senior,Moderate
35,Female,71.9,1.59,183.0,165.0,61.0,1.06,16.7,4.0,5,28.44033068312171,9.5,0.9016393442622951,8.565573770491802,617.2,6.4268120296980165,174.9,True,False,False,False,False,True,False,True,False,False,True,Adult,High
43,Female,49.2,1.45,177.0,161.0,70.0,0.7,26.8,2.8,4,23.400713436385256,9.5,0.9096045197740112,8.641242937853107,278.3,5.632286472951131,112.69999999999999,True,False,False,False,True,False,False,True,False,False,True,Adult,High
51,Male,86.5,1.71,173.0,158.0,74.0,1.08,25.4,3.4,2,29.58175165008037,9.5,0.9132947976878613,8.676300578034683,719.45,6.579876016778943,170.64000000000001,True,False,False,False,False,False,False,False,True,True,False,Senior,Moderate
27,Male,91.0,1.66,189.0,135.0,69.0,1.14,19.5,4.3,5,33.02366090869502,3.0,0.7142857142857143,2.142857142857143,171.2,5.14865659199363,153.89999999999998,False,False,False,True,True,False,False,False,False,True,False,Young,Moderate
53,Female,74.1,1.62,169.0,146.0,76.0,0.56,15.6,3.4,5,28.235025148605388,8.0,0.863905325443787,6.911242603550296,249.9,5.525054453372377,81.76,False,True,False,False,True,False,False,False,True,True,False,Senior,Moderate
31,Male,75.2,1.76,188.0,152.0,66.0,1.04,15.0,3.6,5,24.276859504132233,6.0,0.8085106382978723,4.8510638297872335,330.8,5.8045323777563445,158.08,False,False,True,False,False,True,False,True,False,True,False,Adult,Moderate
48,Male,75.2,1.68,181.0,141.0,68.0,1.05,15.8,3.4,5,26.64399092970522,7.0,0.7790055248618785,5.45303867403315,357.1,5.880812277004387,148.05,False,False,False,False,False,False,True,False,True,True,False,Senior,Moderate
32,Male,57.7,1.55,189.0,139.0,76.0,0.25,21.7,3.1,3,24.016649323621227,3.0,0.7354497354497355,2.2063492063492065,24.1,3.2228678461377385,34.75,False,False,False,True,False,False,False,True,False,True,False,Adult,Moderate
25,Female,39.8,1.49,197.0,154.0,76.0,0.71,21.8,3.6,4,17.92712039998198,7.0,0.7817258883248731,5.472081218274112,127.5,4.855928904335275,109.33999999999999,False,False,False,False,False,True,False,False,False,True,False,Young,Moderate
31,Male,52.5,1.57,185.0,148.0,81.0,0.6,28.8,2.2,3,21.299038500547688,7.0,0.8,5.6000000000000005,142.1,4.963543686562405,88.8,False,False,False,False,False,False,False,True,False,True,False,Adult,Moderate
40,Female,72.9,1.9,187.0,170.0,75.0,0.44,22.1,2.6,2,20.193905817174517,9.5,0.9090909090909091,8.636363636363637,258.5,5.558756702605943,74.8,True,False,False,False,False,False,False,True,False,False,True,Adult,High
57,Female,65.4,1.75,166.0,125.0,76.0,0.66,27.3,4.2,3,21.355102040816327,3.0,0.7530120481927711,2.2590361445783134,70.5,4.269697449699962,82.5,False,False,False,True,False,False,False,False,True,False,False,Senior,Low
38,Female,90.0,1.7,189.0,150.0,61.0,0.93,18.1,4.1,4,31.14186851211073,6.0,0.7936507936507936,4.761904761904762,349.2,5.8585044198517515,139.5,False,False,True,False,False,True,False,True,False,True,False,Adult,Moderate
33,Male,78.7,1.66,186.0,147.0,76.0,0.64,22.3,2.9,3,28.560023225431852,7.0,0.7903225806451613,5.532258064516129,227.6,5.43197375136071,94.08,False,False,False,False,False,False,False,True,False,True,False,Adult,Moderate
35,Female,70.6,1.66,185.0,143.0,65.0,0.92,22.7,2.4,3,25.620554507185368,7.0,0.772972972972973,5.410810810810811,295.5,5.69204721843778,131.56,False,False,False,False,True,False,False,True,False,True,False,Adult,Moderate
41,Male,88.0,1.8,172.0,127.0,72.0,1.0,22.7,4.3,5,27.160493827160494,3.0,0.7383720930232558,2.2151162790697674,145.2,4.984975547315678,127.0,False,False,False,True,False,True,False,True,False,False,False,Adult,Low
43,Female,47.9,1.63,186.0,149.0,63.0,1.25,15.3,4.8,6,18.028529489254396,6.0,0.8010752688172043,4.806451612903226,251.2,5.5302224235308195,186.25,False,False,True,False,False,True,False,True,False,True,False,Adult,Moderate
42,Male,81.3,1.74,180.0,144.0,62.0,1.42,10.5,4.7,7,26.852952833927862,6.0,0.8,4.800000000000001,481.4,6.178773645412976,204.48,False,False,True,False,False,False,True,True,False,True,False,Adult,Moderate
58,Male,75.1,1.65,171.0,139.0,64.0,0.52,29.1,3.2,3,27.58494031221304,6.0,0.8128654970760234,4.87719298245614,164.2,5.107156861086878,72.28,False,False,True,False,False,False,False,False,True,True,False,Senior,Moderate
46,Male,63.2,1.87,172.0,136.0,69.0,1.27,18.2,3.7,3,18.073150504732762,7.0,0.7906976744186046,5.534883720930233,365.5,5.903998521326706,172.72,False,False,False,False,True,False,False,False,True,True,False,Senior,Moderate
32,Female,83.3,1.75,190.0,171.0,58.0,1.09,16.8,3.4,6,27.2,9.5,0.9,8.55,719.45,6.579876016778943,186.39000000000001,True,False,False,False,False,False,True,True,False,False,True,Adult,High
18,Male,59.6,1.8,205.0,149.0,80.0,0.43,25.3,3.5,2,18.39506172839506,3.0,0.7268292682926829,2.180487804878049,42.4,3.770459441106359,64.07,False,False,False,True,False,False,False,False,False,True,False,,Moderate
42,Male,47.3,1.62,180.0,146.0,68.0,1.22,25.8,4.2,5,18.02316720012193,6.0,0.8111111111111111,4.866666666666667,241.1,5.489350863944013,178.12,False,False,True,False,False,True,False,True,False,True,False,Adult,Moderate
24,Female,93.5,1.79,194.0,177.0,80.0,0.41,34.9,2.4,3,29.181361380730937,9.5,0.9123711340206185,8.667525773195877,309.9,5.739471317064708,72.57,True,False,False,False,False,False,False,False,False,False,True,Young,High
26,Female,54.3,1.65,192.0,154.0,67.0,1.03,23.0,4.1,5,19.94490358126722,6.0,0.8020833333333334,4.8125,233.6,5.457881936219375,158.62,False,False,True,False,False,True,False,False,False,True,False,Young,Moderate
41,Male,60.4,1.69,177.0,140.0,71.0,0.99,17.4,3.3,5,21.147718917404855,7.0,0.7909604519774012,5.536723163841808,272.5,5.611301621862036,138.6,False,False,False,False,False,True,False,True,False,True,False,Adult,Moderate
18,Female,95.0,1.84,205.0,162.0,62.0,1.31,15.2,4.0,5,28.060018903591683,6.0,0.7902439024390244,4.741463414634147,522.2,6.259963800142989,212.22,False,False,True,False,False,False,True,False,False,False,True,,High
25,Female,56.6,1.58,192.0,147.0,63.0,0.78,17.5,2.5,5,22.672648614004164,7.0,0.765625,5.359375,201.2,5.309257306586371,114.66000000000001,False,False,False,False,True,False,False,False,False,True,False,Young,Moderate
41,Female,67.3,1.7,169.0,122.0,65.0,1.07,24.3,4.2,6,23.28719723183391,3.0,0.7218934911242604,2.165680473372781,118.4,4.782479200958502,130.54000000000002,False,False,False,True,False,True,False,True,False,False,False,Adult,Low
28,Male,68.9,1.72,192.0,151.0,75.0,0.25,26.2,2.1,2,23.28961600865333,7.0,0.7864583333333334,5.505208333333334,78.3,4.373238128640803,37.75,False,False,False,False,False,False,False,False,False,True,False,Young,Moderate
34,Female,76.2,1.73,186.0,147.0,55.0,0.74,30.6,3.2,4,25.460255939055767,6.0,0.7903225806451613,4.741935483870968,237.6,5.474788509663815,108.78,False,False,True,False,True,False,False,True,False,True,False,Adult,Moderate
25,Male,61.7,1.63,193.0,161.0,65.0,0.93,29.2,4.5,3,23.22255259889345,8.0,0.8341968911917098,6.6735751295336785,344.3,5.844413604395947,149.73000000000002,False,True,False,False,True,False,False,False,False,False,True,Young,High
52,Female,87.2,1.89,165.0,152.0,80.0,0.89,26.1,3.5,4,24.4114106547969,9.5,0.9212121212121213,8.751515151515152,624.5,6.438551329906966,135.28,True,False,False,False,True,False,False,False,True,True,False,Senior,Moderate
52,Female,52.9,1.55,167.0,132.0,69.0,0.52,22.0,3.2,3,22.018730489073878,7.0,0.7904191616766467,5.532934131736527,123.8,4.826712455935327,68.64,False,False,False,False,True,False,False,False,True,True,False,Senior,Moderate
50,Male,84.7,1.83,163.0,127.0,59.0,1.13,15.9,3.4,7,25.291886888231954,7.0,0.7791411042944786,5.45398773006135,438.1,6.084727177567672,143.51,False,False,False,False,False,False,True,False,True,False,False,Senior,Low
22,Female,82.0,1.8,205.0,170.0,64.0,0.62,32.7,3.8,3,25.30864197530864,8.0,0.8292682926829268,6.634146341463414,305.8,5.726196069493101,105.4,False,True,False,False,False,False,False,False,False,False,True,Young,High
59,Female,104.9,1.87,162.0,134.0,68.0,0.25,28.9,2.5,3,29.997998227001055,6.0,0.8271604938271605,4.962962962962963,116.4,4.765586907393996,33.5,False,False,True,False,False,False,False,False,True,True,False,Senior,Moderate
56,Female,52.0,1.52,165.0,149.0,62.0,1.33,11.0,3.9,7,22.506925207756233,9.5,0.9030303030303031,8.57878787878788,555.0,6.320768294250582,198.17000000000002,True,False,False,False,False,False,True,False,True,True,False,Senior,Moderate
58,Female,59.0,1.59,167.0,152.0,68.0,0.77,23.6,3.7,4,23.337684427040067,9.5,0.9101796407185628,8.646706586826348,366.2,5.905906658746336,117.04,True,False,False,False,True,False,False,False,True,True,False,Senior,Moderate
45,Male,83.5,1.83,189.0,170.0,64.0,0.72,22.4,3.6,4,24.933560273522644,9.5,0.8994708994708994,8.544973544973544,484.3,6.18476725641117,122.39999999999999,True,False,False,False,True,False,False,True,False,False,True,Adult,High
24,Male,62.0,1.49,194.0,177.0,81.0,0.7,21.3,2.9,3,27.92666996982118,9.5,0.9123711340206185,8.667525773195877,350.3,5.861640559271781,123.89999999999999,True,False,False,False,False,False,False,False,False,False,True,Young,High
26,Male,45.3,1.52,196.0,140.0,71.0,0.27,27.7,3.7,3,19.606994459833793,3.0,0.7142857142857143,2.142857142857143,20.3,3.0587070727153796,37.800000000000004,False,False,False,True,False,False,False,False,False,True,False,Young,Moderate
25,Male,65.0,1.63,199.0,153.0,68.0,0.76,18.2,3.1,3,24.46460160337235,7.0,0.7688442211055276,5.381909547738694,224.4,5.417876601605676,116.28,False,False,False,False,False,False,False,False,False,True,False,Young,Moderate
29,Male,52.0,1.7,194.0,141.0,75.0,0.67,26.5,3.5,2,17.99307958477509,3.0,0.7268041237113402,2.1804123711340204,58.0,4.07753744390572,94.47,False,False,False,True,False,False,False,False,False,True,False,Young,Moderate
51,Male,77.5,1.84,174.0,125.0,66.0,0.44,18.8,3.8,5,22.891068052930056,3.0,0.7183908045977011,2.155172413793103,55.9,4.041295341132285,55.0,False,False,False,True,True,False,False,False,True,False,False,Senior,Low
50,Male,78.1,1.66,175.0,140.0,61.0,0.98,13.8,3.8,7,28.342284801858035,6.0,0.8,4.800000000000001,318.2,5.765817865575654,137.2,False,False,True,False,False,True,False,False,True,True,False,Senior,Moderate
40,Female,55.3,1.62,178.0,137.0,60.0,1.32,18.8,3.6,6,21.07148300563938,7.0,0.7696629213483146,5.387640449438202,333.4,5.812337881210547,180.84,False,False,False,False,False,False,True,True,False,True,False,Adult,Moderate
41,Male,72.3,1.71,185.0,151.0,72.0,0.41,26.2,3.1,2,24.72555658151226,6.0,0.8162162162162162,4.897297297297297,124.3,4.8307108619020225,61.91,False,False,True,False,False,False,False,True,False,True,False,Adult,Moderate
54,Male,65.3,1.73,165.0,121.0,67.0,0.43,15.3,3.3,3,21.818303317852248,3.0,0.7333333333333333,2.1999999999999997,46.4,3.858622228701031,52.03,False,False,False,True,False,False,False,False,True,False,False,Senior,Low
52,Male,61.1,1.72,169.0,140.0,73.0,0.69,16.6,3.3,3,20.653055705786915,6.0,0.8284023668639053,4.9704142011834325,176.5,5.178970608915471,96.6,False,False,True,False,True,False,False,False,True,True,False,Senior,Moderate
57,Female,77.0,1.66,166.0,127.0,79.0,0.25,33.4,3.2,3,27.94309769197271,3.0,0.7650602409638554,2.2951807228915664,31.9,3.493472657771326,31.75,False,False,False,True,False,False,False,False,True,False,False,Senior,Low
39,Male,43.7,1.48,177.0,149.0,64.0,0.92,8.0,4.4,7,19.950693937180425,8.0,0.8418079096045198,6.734463276836158,241.9,5.492649836008127,137.08,False,True,False,False,False,True,False,True,False,True,False,Adult,Moderate
44,Male,63.5,1.59,178.0,131.0,73.0,0.95,24.4,4.0,4,25.117677307068547,3.0,0.7359550561797753,2.207865168539326,100.0,4.61512051684126,124.44999999999999,False,False,False,True,True,False,False,True,False,True,False,Adult,Moderate
52,Male,83.8,1.82,171.0,132.0,58.0,1.31,8.0,3.5,5,25.298876947228592,7.0,0.7719298245614035,5.4035087719298245,503.2,6.222973014753819,172.92000000000002,False,False,False,False,False,False,True,False,True,True,False,Senior,Moderate
18,Female,59.4,1.7,193.0,154.0,65.0,0.27,21.6,3.5,3,20.55363321799308,6.0,0.7979274611398963,4.7875647668393775,66.9,4.21803603456465,41.580000000000005,False,False,True,False,False,False,False,False,False,True,False,,Moderate
52,Male,66.9,1.65,175.0,161.0,79.0,0.35,24.1,3.1,3,24.57300275482094,9.5,0.92,8.74,190.0,5.25227342804663,56.349999999999994,True,False,False,False,False,False,False,False,True,False,True,Senior,High
54,Female,65.0,1.79,162.0,149.0,75.0,1.03,29.7,3.9,3,20.286507911738084,9.5,0.9197530864197531,8.737654320987653,541.0,6.295266001439646,153.47,True,False,False,False,False,False,False,False,True,True,False,Senior,Moderate
31,Female,64.1,1.57,190.0,150.0,76.0,0.5,36.2,2.5,2,26.005111769240127,7.0,0.7894736842105263,5.526315789473684,145.6,4.987707789452551,75.0,False,False,False,False,False,False,False,True,False,True,False,Adult,Moderate
